"Sample","PLAUR","P2RX7","ICAM1","HIF1A","MMP9","OLFM4","GATA3","CCL2","CALCA","IFNG","MAPK14","IL1R2","MMP8","ARG1","CCR2","TNFSF10","TREM1","IL1B","CCR7","LBP","CCL25","CRP","IL6","IL10","TLR4","TLR2","LCN2","NOTCH1","FCGR1A","VCAM1","NLRP3","S100A12","PTX3","CX3CR1","CXCL10","CXCL8","ITGAM","CD14","BCL2","IFNB1","C3AR1","CCL19","MYD88","SOCS3","IFNA2","PDCD1","HMGB1","C5AR1","ELANE","IFNA1","HLA-DRA","CD177","TNF","Label"
"R208",8.72451385311993,7.11894107272349,7.876516946565,10.3509391815464,8.73809225962049,1,4.16992500144229,0,-145.246766590069,4.32192809488737,11.0334230015374,8.42626475470209,3.7004397181411,6.53915881110802,10.0098286173681,10.410451351504,9.98868468677216,8.07146236255662,5.39231742277875,0,-145.246766590069,0,-145.246766590069,2.32192809488737,11.4046093978377,10.8864586957037,4.64385618977474,11.2455527062557,8.31741261376484,0,8.29920801838728,8.37068740680721,3.7004397181411,9.59618975614441,4.08746284125033,8.09803208296051,10.6202198255075,10.9143851321554,7.87036471958339,-145.246766590069,7.28540221886223,-145.246766590069,9.25502856981871,7.78135971352467,-145.246766590069,1,10.2070143201775,9.92332748541918,3.4594316186373,-145.246766590069,11.3128829552844,4.64385618977474,4.64385618977474,"Sepsis+"
"R209",8.89784545600551,5.24792751344359,6.78135971352467,9.88722061546838,7.90086680798075,5.4594316186373,3.32192809488737,1,-145.236681062095,3.58496250072116,10.2946207488916,7.82654848729092,5.16992500144229,7.07681559705082,9.29001884693261,10.4125698468052,9.43045255166552,8.21431912080075,6.85798099512758,-145.236681062095,-145.236681062095,-145.236681062095,-145.236681062095,0,10.7764330324447,10.1137421660492,5.75488750216346,9.52552080909507,8.10328780841201,-145.236681062095,7,7.49185309632966,4.39231742277877,8.84549005094436,3.32192809488737,8.73809225962049,8.74819284958946,10.6284455401372,7.97154355395077,-145.236681062095,6.12928301694495,0,8.19967234483636,7.40087943628217,-145.236681062095,2.58496250072116,9.9614496943982,8.51569983828404,4.64385618977474,-145.236681062095,10.7168194613299,-145.236681062095,4.32192809488737,"SIRS-"
"R21",10.2934716488381,6.35755200461807,8.34872815423108,11.9968265280206,9.55074678538324,6.10852445677816,4.58496250072116,2.32192809488737,-145.244525266063,1,12.3473445394316,10.5245417150358,6.67242534197149,8.90086680798072,10.7797193551434,12.1683587272239,11.2354159356025,10.211888294546,9.90388184573618,-145.244525266063,-145.244525266063,-145.244525266063,-145.244525266063,-145.244525266063,12.9490971557292,11.9487322398196,8.09275714091984,10.6786001390994,8.72792045456319,2.80735492205758,9.43045255166552,11.1389117181427,5.08746284125033,9.08746284125033,3.7004397181411,10.4655664048094,9.89935692292309,12.1617617433047,10.2877123795494,-145.244525266063,6.74146698640115,-145.244525266063,9.1006623390052,10.1150436501617,-145.244525266063,3.7004397181411,12.3687792600413,9.6147098441152,5.70043971814107,-145.244525266063,12.3032099489448,3.7004397181411,5.32192809488734,"SIRS-"
"R210",9.44708322620966,6.85798099512758,7.72792045456319,10.91288933623,8.65105169117894,5.58496250072116,5.16992500144229,3.58496250072116,-145.247135993422,3,11.3054917921107,9.2336196767597,6.89481776330794,6.47573343096639,10.7590559391602,11.1743015444676,10.9151324489507,9.91737207947685,9.04165915163722,0,1,-145.247135993422,1.58496250072113,2,11.7427304765192,11.5750664645786,6.93073733756287,10.958552715431,7.31288295528435,0,9.15228484230659,9.23840473932506,3.99999999999997,9.74651432113845,2,10.8073549220576,10.6411485974112,11.4486325677306,9.52943055414616,-145.247135993422,7.03342300153744,-145.247135993422,9.53915881110802,9.36850646150771,-145.247135993422,3.9068905956085,11.1516508299734,10.2384047393251,4.80735492205758,-145.247135993422,11.8261512148002,2.80735492205758,5.70043971814107,"SIRS-"
"R211",8.04984854945056,5.88264304936183,6.70043971814107,9.20701432017754,7.84549005094436,6.49185309632966,2.80735492205758,-145.234676629503,-145.234676629503,3.80735492205758,9.98299357469432,6.88264304936183,7.46760555008299,6.4093909361377,9.35974956032234,10.2550285698187,8.27146302790436,7.17990909001495,6.97727992349991,-145.234676629503,-145.234676629503,-145.234676629503,1,2,10.4553272203046,10.2946207488916,6.70043971814107,9.77313920671969,9.283088353024,3,7.59245703726808,8.22881869049587,4.16992500144229,9.22881869049587,4.75488750216348,6.24792751344359,9.0251395622785,10.5641494899857,8.28540221886223,-145.234676629503,6.12928301694495,-145.234676629503,8.38801728534514,7.63662462054364,-145.234676629503,0,10.0647427647503,7.88874324889824,5.24792751344359,-145.234676629503,11.5627194270493,4.16992500144229,3.99999999999997,"SIRS-"
"R213",8.4594316186373,6.10852445677816,6.1497471195047,9.55650605467193,6.80735492205761,5.12928301694495,0,-145.235360898237,-145.235360898237,2,9.99576715087781,7.6582114827518,6.20945336562895,7.26678654069491,9.82017896241518,10.9758479680068,8.37068740680721,7.3663222142458,6.84549005094436,-145.235360898237,0,-145.235360898237,0,1,10.7364019313183,10.2888660741658,5.58496250072116,8.37503943134692,9.37286506011259,0,7.09803208296051,8.80413102118331,1,7.17990909001495,5.20945336562895,7.72792045456319,8.62570884306447,10.1786648510065,7.08746284125033,-145.235360898237,6.10852445677816,-145.235360898237,7.62205181945637,7.33091687811461,-145.235360898237,-145.235360898237,9.79116288855502,7.54689445988762,4.16992500144229,-145.235360898237,11.3066313617125,3.7004397181411,3.16992500144229,"SIRS-"
"R214",9.16741814583173,7.46760555008299,8.58871463558228,10.0606959316875,9.35314682549807,4.32192809488737,4.4594316186373,1,0,4.4594316186373,11.1736771363034,8.59618975614441,5.78135971352464,6.87036471958339,9.66533591718516,10.3793783670713,9.95564990752837,8.40087943628217,8.29462074889162,-145.251983740399,-145.251983740399,-145.251983740399,0,1,11.1111356702347,11.3734089602287,6.35755200461807,11.9822806045583,8.48381577726425,2,8.42206476617281,9.06608919045775,2.80735492205758,9.65999589242998,3.4594316186373,7.19967234483636,11.1611318829843,10.8841705191084,9.11113567023472,-145.251983740399,7.24792751344359,-145.251983740399,10.0714623625566,8.43879185257825,-145.251983740399,4.08746284125033,10.6483575820097,10.4614794472862,4.08746284125033,-145.251983740399,11.9621730311097,6.26678654069491,5.35755200461807,"SIRS-"
"R215",9.2215871212648,6.56985560833093,6.75488750216346,10.2714630279044,9.96722625883598,6.59991284218714,3.9068905956085,-145.245227684304,-145.245227684304,3.7004397181411,11.5816713585781,9.90538700501813,5.16992500144229,6.97727992349991,10.8703647195834,11.171802288683,10.2702953264721,8.84549005094436,7.67242534197149,-145.245227684304,-145.245227684304,-145.245227684304,-145.245227684304,3,11.6452080827747,11.6873756834375,7.02236781302844,10.5255208090951,8.50382573799575,2.32192809488737,8.24792751344359,10.8695938432408,4.32192809488737,8.64745842645493,2.58496250072116,9.10328780841201,10.1996723448364,11.9578275608337,8.29462074889162,-145.245227684304,7.12928301694495,-145.245227684304,9.48582930870191,9.29920801838728,-145.245227684304,0,10.8185821774809,9.45121111183232,2.80735492205758,-145.245227684304,11.4257404243162,4.08746284125033,5.16992500144229,"SIRS-"
"R216",8.26678654069488,6.78135971352467,6.37503943134692,10.0808175276083,7.75488750216346,4.9068905956085,3.7004397181411,-145.248772216632,-145.248772216632,4.39231742277877,11.0112272554233,8.50779464019871,5.32192809488734,7.14974711950467,9.71938882094207,10.3826240265749,9.09275714091984,7.71424551766611,7.3663222142458,1.58496250072113,0,-145.248772216632,-145.248772216632,2,11.257977058564,11.4146852358072,6.6582114827518,10.3575520046181,7.53915881110802,0,7.82017896241518,9.09011241966428,3.4594316186373,9.29462074889162,2.80735492205758,7.24792751344359,9.93369065495224,10.3049216695817,9.48984796043931,-145.248772216632,5.97727992349991,-145.248772216632,8.43879185257825,7.9307373375629,-145.248772216632,3,10.5887146355822,8.86418614465427,3.99999999999997,-145.248772216632,10.5048189876328,0,3.7004397181411,"SIRS-"
"R22",8.55842071326865,5,6.55458885167764,9.74819284958946,7.58496250072113,4.4594316186373,3,-145.241590101709,-145.241590101709,4.08746284125033,10.2796105810525,8.74819284958946,4.52356195605702,7.44294349584871,8.80413102118331,10.4928546201747,9.71252700043982,7.7210991887072,6.80735492205761,-145.241590101709,-145.241590101709,-145.241590101709,-145.241590101709,0,10.8818787076004,11,4.9068905956085,9.43462822763672,7.11894107272349,0,7.28540221886223,8.78790255939143,2.80735492205758,8.24317398347293,4.39231742277877,9.55650605467193,8.84862294042932,10.7321674256634,7.69348695749932,-145.241590101709,5.75488750216346,-145.241590101709,8.29462074889162,6.67242534197149,-145.241590101709,0,10.4978518369511,8.39660478118185,2,-145.241590101709,10.8986013874039,-145.241590101709,2.58496250072116,"SIRS-"
"R221",8.92481250360578,7.11894107272349,7.34872815423108,10.5868397879618,9.57931593758002,10.3728650601126,4.39231742277877,0,1.58496250072113,3.4594316186373,11.6447575925162,7.33985000288462,10.6366246205436,9.34429590791581,10.4614794472862,11.0687782779854,9.63481105017169,8.97727992349991,8.17492568250069,-145.246137579439,1,-145.246137579439,0,1,11.9762060901486,10.5631962722167,8.07681559705082,9.47167521439204,9.87805091272853,2,9.20945336562895,10.8328900141647,5.6147098441152,9.66888498426624,6.1497471195047,7.46760555008299,10.1459321458205,10.4460494067166,9.80413102118331,-145.246137579439,7.28540221886223,-145.246137579439,8.59618975614441,9.2336196767597,-145.246137579439,1.58496250072113,10.3509391815464,9.09539702279255,5.4594316186373,-145.246137579439,11.5240519187178,9.37937836707124,5.08746284125033,"SIRS-"
"R222",9.15987133677839,6.76818432477691,7.65105169117894,10.6679985356725,9.75488750216346,4.85798099512758,3.80735492205758,-145.248293607954,-145.248293607954,4.52356195605702,12.0254856568084,9.78790255939143,5.67242534197149,8.46352437327118,10.3286749273279,11.3009244909763,10.2324209271761,8.86727873970966,6.59991284218714,-145.248293607954,-145.248293607954,-145.248293607954,-145.248293607954,2.58496250072116,12.680799034573,12.1114617398577,6.85798099512758,11.2179576978641,8.7004397181411,0,8.95419631038686,10.0566377151132,4.08746284125033,9.55650605467193,2.58496250072116,7.52356195605699,10.8201789624152,10.8368393597487,8.62205181945637,0,5.6147098441152,-145.248293607954,9.79928162152191,8.54689445988762,-145.248293607954,1.58496250072113,10.6821167649501,10.569855608331,2.80735492205758,-145.248293607954,11.2650289424581,3.9068905956085,4.16992500144229,"SIRS-"
"R223",7.83289001416472,4.24792751344359,5.97727992349991,9.79279029430106,6.02236781302844,4.52356195605702,4.58496250072116,0,-145.241579244,2.80735492205758,10.319672120947,7.79441586635011,4.9068905956085,6.84549005094436,8.77807712953535,10.3241805466187,9.34207466799913,7.97727992349991,8.17990909001495,-145.241579244,-145.241579244,-145.241579244,2.32192809488737,-145.241579244,10.7262181593322,10.5526690975143,5.64385618977471,9.42206476617281,8.09275714091984,-145.241579244,8.48784003382306,8.32192809488737,1,8.36194377373522,1.58496250072113,9.82177398197055,8.68999797141944,9.38370429247405,9.32867492732794,-145.241579244,4.75488750216348,-145.241579244,7.92481250360578,8.81057163474114,-145.241579244,3.32192809488737,10.5574637015978,8.63662462054364,3,-145.241579244,10.140829770773,4.9068905956085,3.58496250072116,"Sepsis+"
"R224",8.86418614465427,6.52356195605699,6.97727992349991,10.5186531556734,9.10852445677816,4.32192809488737,4.52356195605702,-145.250201314689,0,4.16992500144229,11.2467405984931,8.68299458368168,5.35755200461807,7.82654848729092,10.6591039634737,10.654636028528,9.67065624911842,8.26209484537017,9.01402047031493,-145.250201314689,-145.250201314689,-145.250201314689,0,2.32192809488737,11.6492561775173,11.2443638351205,5.55458885167764,10.3890935219045,7.43462822763672,-145.250201314689,8.38801728534514,10.0457596613827,3.9068905956085,9.34207466799913,3.4594316186373,7.93663793900257,9.92925840863697,10.9643408677924,9.89784545600551,-145.250201314689,7.16992500144232,-145.250201314689,8.90388184573618,8.2807707701306,-145.250201314689,3.58496250072116,11.0721326041672,9.21188829454599,2.32192809488737,-145.250201314689,11.4563544151083,4.95419631038686,4.39231742277877,"SIRS-"
"R226",9.57931593758002,6.4093909361377,6.93073733756287,10.8121773055144,8.75488750216346,5.49185309632966,2.32192809488737,0,-145.24035914016,3.16992500144229,11.2859801059282,8.43045255166552,6.49185309632966,8.14465824283187,10.6510516911789,12.0313565962557,10.1623913287569,9.71252700043982,5.28540221886226,-145.24035914016,-145.24035914016,-145.24035914016,1,0,11.9872640120725,11.1440208692669,6.6147098441152,9.90839262077375,10.8864586957037,2.32192809488737,8.24792751344359,9.64925617751732,3.58496250072116,7.72792045456319,5.24792751344359,10.2946207488916,9.77807712953535,10.8281364841941,7.4093909361377,-145.24035914016,5.85798099512758,-145.24035914016,8.66888498426624,8.79441586635011,-145.24035914016,1,10.3575520046181,9.37721053038857,3.9068905956085,-145.24035914016,11.6978363579624,5.28540221886226,3.58496250072116,"SIRS-"
"R227",6.95419631038689,6.04439411935843,5.83289001416475,9.73978060977328,5.78135971352464,3.16992500144229,4.16992500144229,-145.24219996332,-145.24219996332,4.08746284125033,10.0279059965699,8.09803208296051,4.95419631038686,5.95419631038686,9.52356195605702,10.7313190310251,9.09011241966428,8.04439411935846,8.01122725542325,-145.24219996332,-145.24219996332,-145.24219996332,-145.24219996332,0,10.5689061545021,10.7142455176661,6.67242534197149,9.25029841790632,7.65105169117894,-145.24219996332,7.6147098441152,8.7515440590891,4.16992500144229,9.31061278165953,0,6.47573343096639,8.91587937883577,9.91587937883577,8.92481250360578,-145.24219996332,5.90689059560853,-145.24219996332,8.55458885167764,7.42626475470209,-145.24219996332,0,11.1098306542788,8.4093909361377,3.9068905956085,-145.24219996332,11.2556187498396,1.58496250072113,4.70043971814107,"SIRS-"
"R228",9.10590850857113,6.56985560833093,6.70043971814107,10.3663222142458,8.67595703294174,9.40726776424472,3.9068905956085,-145.243883740527,-145.243883740527,5.32192809488734,11.4568677383803,8.81057163474114,8.93663793900257,8.0552824355012,10.6017707884077,11.4189067312579,9.84705734609133,8.93073733756287,7.40087943628217,-145.243883740527,-145.243883740527,-145.243883740527,-145.243883740527,2.58496250072116,11.9567391450591,11.6582114827518,8.12412131182919,9.87805091272853,9.15228484230659,-145.243883740527,8.73131903102504,10.7073591320809,5.24792751344359,9.91438513215545,3.4594316186373,8.08746284125033,10.12153351734,11.6515002206527,8.59991284218711,-145.243883740527,7.81378119121703,-145.243883740527,9.31061278165953,8.6183855022586,-145.243883740527,1,10.9950604670327,8.9068905956085,6.20945336562895,-145.243883740527,11.4361909954814,4.52356195605702,3.9068905956085,"Sepsis+"
